estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
consensus,0.05,1,1.0,0.05,9.484472948588843,69.79918896931812,4.63928660677643,69.7663966726608
consensus,0.05,2,1.0,0.05,10.202971040014377,70.38100444809203,4.854852375971236,70.42143972486522
consensus,0.05,3,1.0,0.05,9.773101862900456,69.64307969618861,4.951300562965201,69.64030271168936
consensus,0.05,4,1.0,0.05,9.586993675447319,71.12660731050343,4.599272414460989,71.31155047496614
consensus,0.05,5,1.0,0.05,9.596887746087466,69.1895381134681,4.523613446412474,69.32697178325668
consensus,0.05,6,1.0,0.05,9.49961894013289,70.5747796345804,4.55622139371646,70.48817478025961
consensus,0.05,7,1.0,0.05,10.179421940770569,68.98652497762258,4.426144320014662,68.9506481349629
consensus,0.05,8,1.0,0.05,10.007059376142093,71.01815133417745,4.5726211999933835,71.15382670701565
consensus,0.05,9,1.0,0.05,9.548157923224084,69.4473001758582,4.499482460689046,69.64157751243312
consensus,0.08,0,1.0,0.05,7.610226182901325,54.544707820757466,3.851248650462974,54.625888368017286
consensus,0.08,1,1.0,0.05,8.25935115465588,54.59270274864281,4.0565623517839136,54.56455316864479
consensus,0.08,2,1.0,0.05,8.939189186382755,54.95210813418363,4.21427627519626,54.98119015884272
consensus,0.08,3,1.0,0.05,8.408696286714603,54.4870554481205,4.38942662603935,54.48758767049647
consensus,0.08,4,1.0,0.05,8.312075696194686,55.4206066188078,3.9777184903651044,55.562539153030414
consensus,0.08,5,1.0,0.05,8.369255703556156,54.20594275397526,3.900267586517357,54.32480693477427
consensus,0.08,6,1.0,0.05,8.213200849001618,55.08768802012026,3.935242662435205,55.020529728240035
consensus,0.08,7,1.0,0.05,8.691605637044967,54.08023750909261,3.8453398219072756,54.049844864974794
consensus,0.08,8,1.0,0.05,8.782854225354006,55.36318309483323,3.9232691352248565,55.4750399299817
consensus,0.08,9,1.0,0.05,8.078764314245655,54.37489987419343,3.789250317322181,54.53488956626085
consensus,0.1,0,1.0,0.05,7.349521569342001,47.63515739679602,3.6190266350958993,47.71047435396429
consensus,0.1,1,1.0,0.05,7.816698444778989,47.67139865072035,3.7978538423660453,47.64657807870235
consensus,0.1,2,1.0,0.05,8.43209190743088,47.94815398917621,3.972820710492678,47.97756756565033
consensus,0.1,3,1.0,0.05,8.110926336310682,47.58672119086947,4.110686318035048,47.59208879227846
consensus,0.1,4,1.0,0.05,7.866306243128879,48.31181374991952,3.8053938905159534,48.43284533324162
consensus,0.1,5,1.0,0.05,7.9242225554251595,47.36986797849984,3.6954371116629128,47.47770250922039
consensus,0.1,6,1.0,0.05,7.711435033083823,48.05822817191268,3.7000078720572103,48.00118309801606
consensus,0.1,7,1.0,0.05,8.280433381127349,47.27300743297415,3.6362804709831553,47.245462204197594
consensus,0.1,8,1.0,0.05,8.029957507982699,48.27096999614686,3.7590742013828367,48.372395991396445
consensus,0.1,9,1.0,0.05,7.619125963015209,47.503476961450666,3.5831689815895387,47.64694915706279
consensus,0.12,0,1.0,0.05,7.066278104425687,42.280100726587996,3.4878642220202707,42.350427606503786
consensus,0.12,1,1.0,0.05,7.527074678043985,42.30853154641892,3.644390169238272,42.288733957442986
consensus,0.12,2,1.0,0.05,8.056237529575151,42.52900891961889,3.8264933521904947,42.55756672717442
consensus,0.12,3,1.0,0.05,7.926681441401836,42.23898670510055,3.935247819759821,42.247379469578895
consensus,0.12,4,1.0,0.05,7.527041841630186,42.8205513193474,3.646962340863028,42.92638645064212
consensus,0.12,5,1.0,0.05,7.660827524235999,42.06597297087208,3.566264096476977,42.16566514956882
consensus,0.12,6,1.0,0.05,7.346659848461683,42.620239348986544,3.6230844979830126,42.5707673195579
consensus,0.12,7,1.0,0.05,8.010826133732586,41.9887850360436,3.458197874410441,41.96360394843596
consensus,0.12,8,1.0,0.05,7.626188949077526,42.79010351889501,3.668297364127044,42.883217247112945
consensus,0.12,9,1.0,0.05,7.375434624967983,42.174610663482866,3.4435809290308637,42.3051748898837
consensus,0.15,0,1.0,0.05,6.9925141828349835,36.1800766890791,3.4091518296230436,36.24179851412079
consensus,0.15,1,1.0,0.05,7.275600749925239,36.20091237687751,3.529571814837023,36.18640715934969
consensus,0.15,2,1.0,0.05,7.582764529086575,36.36538620085304,3.762281247540637,36.3893486412331
consensus,0.15,3,1.0,0.05,7.705989398913258,36.147232485894726,3.8145377871088177,36.15623555251872
consensus,0.15,4,1.0,0.05,7.13414390181045,36.58446540537357,3.5240916177619637,36.67405947384874
consensus,0.15,5,1.0,0.05,7.313606442960829,36.01793194154007,3.472783294359981,36.10798762953999
consensus,0.15,6,1.0,0.05,7.044677154455114,36.43648146165089,3.534018243720373,36.39537245416835
consensus,0.15,7,1.0,0.05,7.765188014897337,35.96034247686386,3.3937085854968965,35.938414898581726
consensus,0.15,8,1.0,0.05,7.372651982576696,36.56353400412226,3.5864532175950097,36.646947617153344
consensus,0.15,9,1.0,0.05,7.098543693143128,36.10086946864287,3.3001348374516217,36.21662683357293
consensus,0.18,0,1.0,0.05,6.883120220264734,31.61886447949876,3.40443067801951,31.673723629629006
consensus,0.18,1,1.0,0.05,7.245142920498281,31.634879587876505,3.4663338564423753,31.624051179306015
consensus,0.18,2,1.0,0.05,7.417973212150986,31.763012981906567,3.8020006958006336,31.783676940668705
consensus,0.18,3,1.0,0.05,7.652849071018832,31.591996599326137,3.8278951290773486,31.599912039052157
consensus,0.18,4,1.0,0.05,7.035913364295898,31.934632702859343,3.495448243133575,32.012832604306595
consensus,0.18,5,1.0,0.05,7.136278217028452,31.491120167118247,3.4399362481658393,31.57373139775136
