estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
consensus,0.3,1,1.0,0.05,8.35346468475686,15.469080864052472,4.633466718059955,15.465642620421868
consensus,0.3,2,1.0,0.05,8.305639934120544,15.54757023617956,4.844440009598896,15.559371190226202
consensus,0.3,3,0.0,0.0,0.0,0.0,0.0,0.0
consensus,0.3,4,1.0,0.05,8.424740700612274,15.588111001187917,4.701146779550404,15.635946152594844
consensus,0.3,5,1.0,0.05,8.401036339672508,15.451672453015895,4.511407030585296,15.505431424088993
consensus,0.3,6,0.0,0.0,0.0,0.0,0.0,0.0
consensus,0.3,7,0.0,0.0,0.0,0.0,0.0,0.0
consensus,0.3,8,1.0,0.05,8.24914969407851,15.599862638835502,4.6184193926129975,15.64835579708437
consensus,0.3,9,1.0,0.05,8.059603901844216,15.541959742817113,4.3975016416630766,15.607506027406599
anomaly_within,0.0,0,1.0,0.05,16.687476543064108,146.68789873867468,8.215613639695453,146.9445992689734
anomaly_within,0.0,1,1.0,0.05,17.30773441095701,146.11136462995506,8.397561936485937,146.091992654682
anomaly_within,0.0,2,1.0,0.05,19.066371527090112,152.54930026434857,9.130221884993775,152.55268821941684
anomaly_within,0.0,3,1.0,0.05,18.108974569488648,147.22618718997597,8.796873483970343,147.23338548560335
anomaly_within,0.0,4,1.0,0.05,17.498963318410247,152.7844025724227,8.497671571055495,153.13157590593858
anomaly_within,0.0,5,1.0,0.05,17.40333793940252,143.63635089056663,8.188967760476253,143.78962498175332
anomaly_within,0.0,6,1.0,0.05,17.814627243612843,149.46717733751757,8.331822651280888,149.30526184129974
anomaly_within,0.0,7,1.0,0.05,19.17127618942907,145.0048689370995,8.148101898847333,144.99353775736049
anomaly_within,0.0,8,1.0,0.05,18.67138691155947,150.41533339094173,8.416258310298126,150.6362034966931
anomaly_within,0.0,9,1.0,0.05,17.324164185212865,148.01053440434657,8.542002166561828,148.37999468563908
anomaly_within,0.02,0,1.0,0.05,16.477461099935162,143.97126955859176,8.06996917154536,144.18915326320788
anomaly_within,0.02,1,1.0,0.05,16.8663689010578,143.62499320222312,8.286259250455863,143.62534609400544
anomaly_within,0.02,2,1.0,0.05,18.659079169641554,148.6898516840763,8.933925024367419,148.72464484691966
anomaly_within,0.02,3,1.0,0.05,17.636134746264528,143.35263065606327,8.61206736748326,143.343144077854
anomaly_within,0.02,4,1.0,0.05,17.215320039134596,149.32716360753642,8.415268943915645,149.65513709938207
anomaly_within,0.02,5,1.0,0.05,16.89761905099567,141.42601880947444,8.037872682908192,141.5870959338144
anomaly_within,0.02,6,1.0,0.05,17.182292863147815,144.94110053470973,8.098074553548784,144.76867398550695
anomaly_within,0.02,7,1.0,0.05,19.062746468787445,141.51156493651712,7.980552224812524,141.45744251019306
anomaly_within,0.02,8,1.0,0.05,18.346477401107503,148.2185577320611,8.320148552082284,148.41840135846616
anomaly_within,0.02,9,1.0,0.05,17.066257537538938,145.27953817264353,8.336375067842287,145.62933112171416
anomaly_within,0.05,0,1.0,0.05,15.882883366340481,139.5890848856945,7.873510882067475,139.79847572489365
anomaly_within,0.05,1,1.0,0.05,16.40969666529752,139.1959025549694,8.047034657302884,139.15985550501975
anomaly_within,0.05,2,1.0,0.05,18.19386292599087,143.78131967627792,8.67760948006475,143.80629836695582
anomaly_within,0.05,3,1.0,0.05,17.326918686873363,139.13659747362505,8.393142470992913,139.10778391706313
anomaly_within,0.05,4,1.0,0.05,16.670986655429125,144.78074162285154,8.196015840843902,145.07733378780847
anomaly_within,0.05,5,1.0,0.05,16.451920494163172,135.63055549863043,7.779077881592238,135.7863382364624
anomaly_within,0.05,6,1.0,0.05,16.583769391876963,139.14146754791523,7.804718614309864,138.9677173446658
anomaly_within,0.05,7,1.0,0.05,17.94717881978665,135.28585463681497,7.617245728725132,135.29537101588073
anomaly_within,0.05,8,1.0,0.05,18.048313535869585,142.63445631835748,8.077570018073024,142.88057071509664
anomaly_within,0.05,9,1.0,0.05,16.455687243546308,138.987685918874,8.025073362477908,139.3449639738708
anomaly_within,0.08,0,1.0,0.05,15.668642812186551,134.59035079013188,7.61931746739859,134.777824936892
anomaly_within,0.08,1,1.0,0.05,15.909821187206022,134.6706469236466,7.720807149872069,134.64890342518456
anomaly_within,0.08,2,1.0,0.05,17.463950290967926,138.03089139816603,8.267547362193909,138.07207991268513
anomaly_within,0.08,3,1.0,0.05,16.76322001333813,134.2781433647546,8.09529149212749,134.31121710111495
anomaly_within,0.08,4,1.0,0.05,16.095414519291655,139.7117753219797,7.8586440224011715,140.0119925611661
anomaly_within,0.08,5,1.0,0.05,15.922172278845647,131.44878548333796,7.48981727663943,131.62424246798713
anomaly_within,0.08,6,1.0,0.05,16.153948968140107,135.48035848901355,7.548913768089429,135.34959698080306
